subject,word,affricate,rhyme,context,repetition,VOT,intensity,F1,clo_voi,aff_voi
er,gin,dZ,in,vowel,2,0.06,64.7,331,full,full
er,gin,dZ,in,stop,1,0.06,65.9,311,full,full
er,gin,dZ,in,stop,2,0.09,66.5,331,full,full
er,jane,dZ,ain,stop,2,0.05,64.2,352,full,full
er,jane,dZ,ain,stop,1,0.06,68.1,352,part,none
er,jane,dZ,ain,vowel,1,0.07,66.3,357,full,full
er,jane,dZ,ain,vowel,2,0.07,64.5,352,full,full
er,jar,dZ,ar,stop,1,0.04,61.9,393,part,none
er,jar,dZ,ar,stop,2,0.04,64,393,part,part
er,jar,dZ,ar,vowel,1,0.05,65.5,331,full,full
er,jar,dZ,ar,vowel,2,0.07,65.7,331,full,full
er,jeer,dZ,eer,vowel,2,0.06,64.1,311,full,full
er,jeer,dZ,eer,stop,2,0.06,67.9,311,full,full
er,jeer,dZ,eer,vowel,1,0.08,68,305,full,full
er,jeer,dZ,eer,stop,1,0.09,64.8,311,full,full
er,jest,dZ,est,stop,1,0.05,64.7,372,part,full
er,jest,dZ,est,stop,2,0.05,64.2,393,none,none
er,jest,dZ,est,vowel,1,0.07,66.9,435,part,full
er,jest,dZ,est,vowel,2,0.09,62.3,372,part,none
er,joke,dZ,oke,vowel,1,0.05,66.5,305,full,full
er,joke,dZ,oke,stop,1,0.05,62.1,372,none,none
er,joke,dZ,oke,vowel,2,0.06,62.3,311,full,full
er,joke,dZ,oke,stop,2,0.06,66.4,352,part,part
er,junk,dZ,unk,vowel,2,0.05,67.1,373,full,full
er,junk,dZ,unk,stop,1,0.05,65.9,331,full,full
er,junk,dZ,unk,stop,2,0.05,66.4,372,none,none
er,junk,dZ,unk,vowel,1,0.06,66.3,357,full,full
es,chain,tS,ain,stop,1,0.117,69.93,626.93,none,none
es,chain,tS,ain,vowel,2,0.139,68.9,573,none,none
es,chain,tS,ain,vowel,1,0.148,69.6,518.5,none,none
es,chain,tS,ain,stop,2,0.171,67.1,598,none,none
es,char,tS,ar,vowel,2,0.114,67.7,793,none,none
es,char,tS,ar,stop,1,0.136,70.19,841.07,none,none
es,char,tS,ar,stop,2,0.171,69.6,791,none,none
es,char,tS,ar,vowel,1,0.19,68.73,826.5,none,none
es,cheer,tS,eer,stop,2,0.118,64.9,374,none,none
es,cheer,tS,eer,stop,1,0.134,68.68,369.22,none,none
es,cheer,tS,eer,vowel,1,0.136,68.87,334.14,none,none
es,cheer,tS,eer,vowel,2,0.149,70.4,382,none,none
es,chest,tS,est,stop,1,0.124,62.55,856.82,none,none
es,chest,tS,est,vowel,1,0.126,64.8,807.98,none,none
es,chest,tS,est,vowel,2,0.132,67.8,642,none,none
es,chest,tS,est,stop,2,0.149,61.2,704,none,none
es,chin,tS,in,stop,1,0.124,71.72,517.07,none,none
es,chin,tS,in,vowel,1,0.138,69.59,467.76,none,none
es,chin,tS,in,vowel,2,0.14,69.9,513,none,none
es,chin,tS,in,stop,2,0.164,65.7,429,none,none
es,choke,tS,oke,stop,2,0.108,69.7,593,none,none
es,choke,tS,oke,stop,1,0.112,64.37,693.32,none,none
es,choke,tS,oke,vowel,1,0.117,71.29,680.19,none,none
es,choke,tS,oke,vowel,2,0.124,68.1,538,none,none
es,chunk,tS,unk,stop,2,0.099,66.9,825,none,none
es,chunk,tS,unk,vowel,1,0.103,67.8,871.04,none,none
es,chunk,tS,unk,vowel,2,0.116,68.9,914,none,none
es,chunk,tS,unk,stop,1,0.117,70.83,951.02,none,none
es,gin,dZ,in,stop,1,0.078,62.87,401.73,none,none
es,gin,dZ,in,stop,2,0.092,63.9,402,none,part
es,gin,dZ,in,vowel,1,0.093,64.18,391.23,full,none
es,gin,dZ,in,vowel,2,0.095,66.2,388,part,none
es,jane,dZ,ain,vowel,1,0.074,66.3,491.58,full,none
es,jane,dZ,ain,stop,1,0.076,62.37,465.72,full,none
es,jane,dZ,ain,stop,2,0.082,58.9,448,none,none
es,jane,dZ,ain,vowel,2,0.082,65.6,424,full,none
