subject,word,affricate,rhyme,context,repetition,VOT,intensity,F1,clo_voi,aff_voi
vp,jane,dZ,ain,stop,1,0.074,68.67,435.5,none,none
vp,jane,dZ,ain,vowel,1,0.078,68.43,434.03,part,none
vp,jar,dZ,ar,stop,2,0.05,68.13,502.51,none,none
vp,jar,dZ,ar,stop,1,0.056,68.6,500.1,none,none
vp,jar,dZ,ar,vowel,1,0.062,65.61,493.34,part,none
vp,jar,dZ,ar,vowel,2,0.063,65.15,498.34,part,none
vp,jeer,dZ,eer,stop,2,0.062,71.31,360.29,none,none
vp,jeer,dZ,eer,stop,1,0.076,69.17,376.55,none,none
vp,jeer,dZ,eer,vowel,1,0.081,68.44,368.82,part,none
vp,jeer,dZ,eer,vowel,2,0.088,67.11,334.74,part,none
vp,jest,dZ,est,vowel,1,0.058,67.79,468.48,part,none
vp,jest,dZ,est,vowel,2,0.059,68,488.46,part,none
vp,jest,dZ,est,stop,1,0.067,64.46,511.76,none,none
vp,jest,dZ,est,stop,2,0.073,67.96,508.58,none,none
vp,joke,dZ,oke,stop,2,0.053,68.33,448.02,none,none
vp,joke,dZ,oke,stop,1,0.059,69.43,461.23,none,none
vp,joke,dZ,oke,vowel,1,0.078,66.33,487.59,part,none
vp,joke,dZ,oke,vowel,2,0.081,66.16,481.33,part,none
vp,junk,dZ,unk,vowel,2,0.054,69.23,558.04,part,none
vp,junk,dZ,unk,stop,2,0.066,67.48,512.76,none,none
vp,junk,dZ,unk,vowel,1,0.067,70.65,590.3,part,none
vp,junk,dZ,unk,stop,1,0.069,71.08,490.56,none,none
yg,chain,tS,ain,vowel,1,0.088114898,60.55139801,325.6859171,none,none
yg,chain,tS,ain,vowel,2,0.089029635,61.7231202,392.7037582,none,none
yg,chain,tS,ain,stop,2,0.091774138,58.09560641,382.5136219,none,none
yg,chain,tS,ain,stop,1,0.101822494,60.99654606,420.3539113,none,none
yg,char,tS,ar,stop,1,0.095411448,59.36689037,914.3157126,none,none
yg,char,tS,ar,vowel,2,0.105716829,60.83779585,651.8197719,none,none
yg,char,tS,ar,vowel,1,0.121199875,57.00354369,770.3078782,none,none
yg,char,tS,ar,stop,2,0.127236983,57.55855187,759.2813114,none,none
yg,cheer,tS,eer,vowel,1,0.094336039,60.76186038,373.3698935,none,none
yg,cheer,tS,eer,vowel,2,0.116817874,60.48000636,348.1768044,none,none
yg,cheer,tS,eer,stop,1,0.125291502,61.16776497,349.678124,none,none
yg,cheer,tS,eer,stop,2,0.135819193,60.2094907,322.8337337,none,none
yg,chest,tS,est,stop,1,0.088843269,57.41823534,898.2776503,none,none
yg,chest,tS,est,stop,2,0.101864395,55.85333484,887.5848797,none,none
yg,chest,tS,est,vowel,2,0.10581028,51.98713759,862.7312974,none,none
yg,chest,tS,est,vowel,1,0.107883399,59.5405784,751.4864219,none,none
yg,chin,tS,in,stop,2,0.09887205,59.64561122,364.2616082,none,none
yg,chin,tS,in,vowel,2,0.10793509,61.04734592,448.7724673,none,none
yg,chin,tS,in,stop,1,0.126934669,60.38015386,473.9858257,none,none
yg,chin,tS,in,vowel,1,0.136240969,61.15535864,409.520749,none,none
yg,choke,tS,oke,vowel,2,0.076688282,58.42283755,295.5156134,none,none
yg,choke,tS,oke,stop,1,0.10391237,60.11462728,305.8501873,none,none
yg,choke,tS,oke,stop,2,0.105788878,57.46395041,370.4535722,none,none
yg,choke,tS,oke,vowel,1,0.113997084,57.5288277,416.6949678,none,none
yg,junk,dZ,unk,stop,1,0.04529682,56.37558216,496.2647639,none,none
yg,chunk,tS,unk,vowel,2,0.075869722,59.12411368,580.2657367,none,none
yg,chunk,tS,unk,stop,1,0.084672498,55.31468569,967.1351676,none,none
yg,chunk,tS,unk,stop,2,0.107017877,60.18409263,849.7898383,none,none
yg,chunk,tS,unk,vowel,1,0.132356779,64.86422469,412.3924416,none,none
yg,gin,dZ,in,vowel,2,0.046636478,55.08651726,370.6186399,none,none
yg,gin,dZ,in,stop,1,0.051854048,57.56020097,395.5694132,none,none
yg,gin,dZ,in,vowel,1,0.05698206,59.68953281,407.1465133,part,none
yg,gin,dZ,in,stop,2,0.058564457,55.3468487,375.3885257,part,none
yg,jane,dZ,ain,stop,1,0,58.44814748,368.96393,none,full
yg,jane,dZ,ain,vowel,2,0.033200763,54.7911619,417.6968242,none,none
yg,jane,dZ,ain,vowel,1,0.041314727,59.04402029,455.052221,part,none
yg,jane,dZ,ain,stop,2,0.056033413,56.86252177,386.7505599,part,none
yg,jar,dZ,ar,vowel,2,0.037118401,56.18448372,463.6733076,none,none
yg,jar,dZ,ar,stop,1,0.045043434,54.98616256,519.4047763,none,none
yg,jar,dZ,ar,vowel,1,0.047126404,58.43880042,505.6782599,part,none
yg,jar,dZ,ar,stop,2,0.055839286,54.7886208,467.7817298,none,none
yg,jeer,dZ,eer,stop,1,0,56.82008051,371.1115488,part,full
yg,jeer,dZ,eer,vowel,1,0.038083478,47.53157643,331.4664452,part,none
yg,jeer,dZ,eer,vowel,2,0.057404774,60.90970115,321.853488,full,none
yg,jeer,dZ,eer,stop,2,0.061920732,56.31820177,310.8749289,part,none
yg,jest,dZ,est,vowel,1,0.027941372,60.84642222,546.4016288,part,none
yg,jest,dZ,est,vowel,2,0.029180297,59.10081811,533.7475806,none,none
yg,jest,dZ,est,stop,1,0.034801215,57.42110785,477.9580955,none,none
yg,jest,dZ,est,stop,2,0.037303374,56.2527753,472.5600988,none,none
yg,joke,dZ,oke,vowel,1,0.036399627,52.94359434,371.8989001,part,none
yg,joke,dZ,oke,vowel,2,0.045918028,54.1630644,477.4023521,none,none
yg,joke,dZ,oke,stop,1,0.047826941,55.25828759,402.3026861,part,none
yg,joke,dZ,oke,stop,2,0.050804548,57.63209101,386.517934,none,none
yg,junk,dZ,unk,vowel,2,0.037660339,55.0221438,459.5140625,part,none
yg,junk,dZ,unk,stop,2,0.039203276,57.1957845,445.6904654,none,none
yg,junk,dZ,unk,vowel,1,0.045159653,55.6139356,462.0717342,full,none
